timestamp,run_id,tool,metric_name,metric_value,previous_value,delta,direction,category,goal_trace,threshold,escalation_level,source_report
2026-03-17T17:17:20Z,2026-03-17,Structure Check,warnings,0,,,,structural,Seed 2 — Integrity,0,1,Structure_Check_report.md
2026-03-17T17:17:20Z,2026-03-17,Stub Detection,checked,160,,,,structural,Seed 2 — Integrity,1,1,Stub_Detection_report.md
2026-03-17T17:17:20Z,2026-03-17,Stub Detection,passed,80,,,,structural,Seed 2 — Integrity,1,1,Stub_Detection_report.md
2026-03-17T17:17:20Z,2026-03-17,Stub Detection,failed,0,,,,structural,Seed 2 — Integrity,0,1,Stub_Detection_report.md
2026-03-17T17:17:20Z,2026-03-17,Stub Detection,warnings,0,,,,structural,Seed 2 — Integrity,0,1,Stub_Detection_report.md
2026-03-17T17:17:20Z,2026-03-17,YAML Validation,checked,37,,,,structural,Seed 2 — Integrity,1,1,YAML_Validation_report.md
2026-03-17T17:17:20Z,2026-03-17,YAML Validation,passed,37,,,,structural,Seed 2 — Integrity,1,1,YAML_Validation_report.md
2026-03-17T17:17:20Z,2026-03-17,YAML Validation,failed,0,,,,structural,Seed 2 — Integrity,0,1,YAML_Validation_report.md
2026-03-17T17:17:20Z,2026-03-17,YAML Validation,warnings,0,,,,structural,Seed 2 — Integrity,0,1,YAML_Validation_report.md
2026-03-17T17:17:20Z,2026-03-17,Health Report,tools_clean,10,,,,aggregate,Seed 1 — Process,1,1,vault_health_report.md
2026-03-17T17:17:20Z,2026-03-17,Health Report,tools_findings,3,,,,aggregate,Seed 1 — Process,0,2,vault_health_report.md
2026-03-17T17:17:20Z,2026-03-17,Health Report,tools_error,0,,,,aggregate,Seed 1 — Process,0,1,vault_health_report.md
2026-03-17T17:17:20Z,2026-03-17,Health Report,overall_result,1,,,,aggregate,Seed 1 — Process,1,1,vault_health_report.md
